acc;dropout;epoch;l1;l2;l3;l4;l5;l6;l7;nb
0.493023254;0.5;100;0.5;0.5;5;0.5;0.5;;;5
0.511627908;0.5;100;0.5;0.5;5;0.5;5;;;5
0.530232558;0.5;100;0.5;0.5;5;5;0.5;;;5
0.493023254;0.5;100;0.5;0.5;5;5;5;;;5
0.525581396;0.5;100;0.5;5;0.5;0.5;0.5;;;5
0.530232557;0.5;100;0.5;5;0.5;0.5;5;;;5
0.497674417;0.5;100;0.5;5;0.5;5;0.5;;;5
0.506976745;0.5;100;0.5;5;0.5;5;5;;;5
0.493023255;0.5;100;0.5;5;5;0.5;0.5;;;5
0.525581396;0.5;100;0.5;5;5;0.5;5;;;5
0.460465115;0.5;100;0.5;5;5;5;0.5;;;5
0.520930231;0.5;100;0.5;5;5;5;5;;;5
0.502325581;0.5;100;5;0.5;0.5;0.5;0.5;;;5
0.520930232;0.5;100;5;0.5;0.5;0.5;5;;;5
0.502325581;0.5;100;5;0.5;0.5;5;0.5;;;5
0.506976744;0.5;100;5;0.5;0.5;5;5;;;5
0.516279068;0.5;100;5;0.5;5;0.5;0.5;;;5
0.51627907;0.5;100;5;0.5;5;0.5;5;;;5
0.46976744;0.5;100;5;0.5;5;5;0.5;;;5
0.46976744;0.5;100;0.5;0.5;;;;;;2
0.474418605;0.5;100;0.5;5;;;;;;2
0.460465115;0.5;100;5;0.5;;;;;;2
0.493023255;0.5;100;5;5;;;;;;2
0.493023255;0.5;100;0.5;0.5;0.5;0.5;0.5;;;5
0.506976745;0.5;100;0.5;0.5;0.5;0.5;5;;;5
0.511627906;0.5;100;0.5;0.5;0.5;5;0.5;;;5
0.511627906;0.5;100;0.5;0.5;0.5;5;5;;;5
0.502325582;0.5;100;0.5;0.5;5;0.5;0.5;;;5
0.50232558;0.5;100;0.5;0.5;5;0.5;5;;;5
0.525581396;0.5;100;0.5;0.5;5;5;0.5;;;5
0.474418603;0.5;100;0.5;0.5;5;5;5;;;5
0.50232558;0.5;100;0.5;5;0.5;0.5;0.5;;;5
0.493023254;0.5;100;0.5;5;0.5;0.5;5;;;5
0.404651163;0.5;100;0.5;5;0.5;5;0.5;;;5
0.497674417;0.5;100;0.5;5;0.5;5;5;;;5
0.530232557;0.5;100;0.5;5;5;0.5;0.5;;;5
0.520930231;0.5;100;0.5;5;5;0.5;5;;;5
0.530232558;0.5;100;0.5;5;5;5;0.5;;;5
0.455813952;0.5;100;0.5;5;5;5;5;;;5
0.502325581;0.5;100;5;0.5;0.5;0.5;0.5;;;5
0.534883721;0.5;100;5;0.5;0.5;0.5;5;;;5
0.553488372;0.5;100;5;0.5;0.5;5;0.5;;;5
0.520930231;0.5;100;5;0.5;0.5;5;5;;;5
0.441860466;0.5;100;5;0.5;5;0.5;0.5;;;5
0.465116279;0.5;100;5;0.5;5;0.5;5;;;5
0.497674417;0.5;100;5;0.5;5;5;0.5;;;5
0.479069766;0.5;100;5;0.5;5;5;5;;;5
0.506976743;0.5;100;5;5;0.5;0.5;0.5;;;5
0.497674418;0.5;100;5;5;0.5;0.5;5;;;5
0.525581394;0.5;100;5;5;0.5;5;0.5;;;5
0.497674419;0.5;100;5;5;0.5;5;5;;;5
0.474418603;0.5;100;5;5;5;0.5;0.5;;;5
0.474418604;0.5;100;5;5;5;0.5;5;;;5
0.530232557;0.5;100;5;5;5;5;0.5;;;5
0.548837207;0.5;100;5;5;5;5;5;;;5
0.511627908;0.5;100;0.5;0.5;0.5;0.5;0.5;0.5;0.5;7
0.469767441;0.5;100;0.5;0.5;0.5;0.5;0.5;0.5;5;7
0.502325581;0.5;100;0.5;0.5;0.5;0.5;0.5;5;0.5;7
0.497674417;0.5;100;0.5;0.5;0.5;0.5;0.5;5;5;7
0.548837209;0.5;100;0.5;0.5;0.5;0.5;5;0.5;0.5;7
